canonicalId,name,category,recipeUnit,cost,costSource,perLb,perFlOz,perEach,usedInRecipe,invoiceLines
cmo58uduf00263nu9a73pi7d5,sysco classic gloves nitrile foodservice powder free black,Paper/Supplies,each,0.0037990000000000003,invoice,,,0.0037990000000000003,false,24
cmonujc4l0001rxu9wh7dwatk,chris & eddy's house sauce cup 1.5 oz,,each,0.6049444444,invoice,,,0.6049444444,true,1
cmo6v1vyp001fiku9ho0kyfxa,american cheese yellow 160,Dairy,each,0.1203125,invoice,,,0.1203125,true,1
cmo58ubsx00183nu9x1vcq8nn,syrup lemonade,Beverages,gal,24.936,invoice,,0.1948125,,false,7
cmo58uc1b001c3nu9sok0uwcv,syrup coca cola zero sugar,Beverages,gal,24.936,invoice,,0.1948125,,true,3
cmo58ud85001w3nu9ouzgrvwz,lyon medium syrup chocolate free flow,Dry Goods,gal,20.59,invoice,,0.160859375,,true,2
cmo58udgt00203nu97tiadbcs,lyon medium syrup strawberry rtu,Dry Goods,gal,21.915,invoice,,0.1712109375,,true,2
cmo58uebv002e3nu9qynpmra7,soda orange fanta mexican glass,Beverages,ml,0.0035841666666666665,invoice,,0.10599645887359374,,true,8
cmo58uljs005a3nu9ksul9kn5,cup portion plastic 2 oz clear,Paper/Supplies,each,0.011132,invoice,,,0.011132,true,9
cmo58ulsm005e3nu9zgog7xnx,mustard packets 5.5gr,Dry Goods,g,0.010618181818181818,invoice,4.816326256,,,false,6
cmo58ugcj003c3nu98lwa4t2j,ctecocrft paper wax deli,Paper/Supplies,oz,1.4074074074074074,invoice,22.51851851851852,,,false,1
cmo58uhf6003u3nu9l1qxfq5f,tray food paper #50 1/2 lb white red check,Paper/Supplies,each,0.03438,invoice,,,0.03438,true,13
cmo58uhs700403nu9e6qshdnn,paper patty 5.5 x 5.5 dry wax,Paper/Supplies,each,0.01056,invoice,,,0.01056,false,5
cmo58uie3004a3nu9mo4wnzjl,napkin dispenser 2-ply 8.5 x 6.5 white,Equipment,each,0.006645,invoice,,,0.006645,true,13
cmo58uii6004c3nu99m25lsip,towel multifold kraft 1-ply,Paper/Supplies,each,0.0061275,invoice,,,0.0061275,false,9
cmo58uko2004w3nu9z0wfd37f,sys cls salt granulated iodized,Dry Goods,lb,0.8041666666666667,invoice,0.8041666666666667,,,false,1
cmo58ukso004y3nu9uxzuhfdg,sys cls paper patty square 5.5,Paper/Supplies,each,0.0010616049382716048,invoice,,,0.0010616049382716048,false,1
cmo58u9gw00043nu9k25qbxn1,lamb potato fry ss 1/4 stealth,Frozen,lb,1.4074074074074074,invoice,1.4074074074074074,,,true,31
