recommendation,canonicalName,recipeUnit,currentCost,expectedCost,derivedCost,ratio,issue,vendor,invoice,date,sku,productName,quantity,unit,packSize,unitSize,unitSizeUom,unitPrice,extendedPrice,lineSignature,recipeUses
GUARDRAIL,"pickle chips sandwich cut 1/8""",each,0.036,0.036,36,1000.0000000000001,missing pack metadata makes invoice unit look like recipe unit,"Premier Deli Services, Inc.",902207,2026-04-08,813,Pickle Chips Sandwich Cut,4,EA,,,,36,144,EA x - x - x -,Extra Side of Pickles [A La Carte]; Mod: Add Pickle [Modifier]; Mod: Extra Pickles [Modifier]
INFO,chrsned bag plas tshirt logo ptsbchrisneddy,each,0.005865454545454545,0.005865454545454545,0.06452,11,,"Sysco Los Angeles, Inc.",945729735,2026-03-19,7380317,Chrsned Bag Plastic T-Shirt Logo,2,CS,1000,1,CT,64.52,129.04,CS x 1000 x 1 x CT,2 Grilled Cheeses and Fries [Combos]; 1 Slider Combo [Combos]; 2 Slider Combo [Combos]; Combo 3 [Combos]; The Triple Pack [Combos]; Signature Slider Fries & Drink Combo [Combos]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,1.2222727272727274,8.14848484848485,packSize looks truncated or split from 112/124 count pack,"Sysco Los Angeles, Inc.",945647380,2026-02-21,2717106,Packer Lettuce Bstn Hydroponic,3,CS,11,2,CT,26.89,80.67,CS x 11 x 2 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,2.2408333333333332,14.938888888888888,packSize looks truncated or split from 112/124 count pack,"Sysco Los Angeles, Inc.",945660521,2026-02-26,2717106,Lettuce Boston Hydroponic,5,CS,12,1,CT,26.89,134.45,CS x 12 x 1 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,1.2222727272727274,8.14848484848485,packSize looks truncated or split from 112/124 count pack,"Sysco Los Angeles, Inc.",945668952,2026-02-28,2717106,PACKER LETTUCE BSTN HYDROPONIC,3,CS,11,2,CT,26.89,80.67,CS x 11 x 2 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,1.2222727272727274,8.14848484848485,packSize looks truncated or split from 112/124 count pack,"Sysco Los Angeles, Inc.",945674659,2026-03-02,2717106,Packer Lettuce Boston Hydroponic,3,CS,11,2,CT,26.89,80.67,CS x 11 x 2 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,1.2222727272727274,8.14848484848485,packSize looks truncated or split from 112/124 count pack,Sysco,945685538,2026-03-05,2717106,PACKER LETTUCE BSTN HYDROPONIC,6,CS,11,2,CT,26.89,161.34,CS x 11 x 2 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,2.444545454545455,16.2969696969697,packSize looks truncated or split from 112/124 count pack,"Sysco Los Angeles, Inc.",945695053,2026-03-07,2717106,Packer Lettuce Boston Hydroponic,3,CS,11,1,CT,26.89,80.67,CS x 11 x 1 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,1.2222727272727274,8.14848484848485,packSize looks truncated or split from 112/124 count pack,Sysco,945696984,2026-03-09,2717106,Packer Lettuce Boston Hydroponic,3,CS,11,2,CT,26.89,80.67,CS x 11 x 2 x CT,Mod: Add Lettuce [Modifier]
OWNER_REVIEW,packer lettuce boston hydroponic,each,0.15,0.24008928571428573,1.2222727272727274,8.14848484848485,packSize looks truncated or split from 112/124 count pack,Sysco,945707660,2026-03-12,2717106,Packer Lettuce BSTN Hydroponic,3,CS,11,2,CT,26.89,80.67,CS x 11 x 2 x CT,Mod: Add Lettuce [Modifier]
