ingredient,category,recipe_unit,current_cost,cost_source,cost_locked,invoice_line_count,vendor_count,vendors,first_invoice_date,last_invoice_date,latest_vendor,latest_sku,latest_product_name,latest_invoice_unit,latest_quantity,latest_unit_price,latest_extended_price,latest_match_source
american cheese yellow 160,Dairy,each,0.12,manual,true,1,1,"Premier Deli Services, Inc.",2026-04-08,2026-04-08,"Premier Deli Services, Inc.",644,American Cheese Yellow 160,LB,750,3.85,2887.5,sku
bag t-shirt white 12x7x22 17mic with warning,Paper/Supplies,each,,manual,false,1,1,Individual FoodService,2026-03-19,2026-03-19,Individual FoodService,18676,Bag T-Shirt White 12x7x22 17mic with Warning,CS,1,19.75,19.75,sku
bleach 6% epa registered,Cleaning,CS,,,false,1,1,Individual FoodService,2026-04-06,2026-04-06,Individual FoodService,24541,Bleach 6% EPA Registered,CS,1,25.72,25.72,sku
can liner 40 x 46 1.5 mil black roll,Paper/Supplies,CS,,,false,9,1,Individual FoodService,2026-02-26,2026-04-23,Individual FoodService,40X46ROLL,Can Liner 40X46 1.5 mil Black Roll,CS,1,35.28,35.28,sku
chris & eddy's house sauce,Other,oz,0.18,manual,true,3,2,Bear State Kitchen; Vitco Foodservice,2026-01-15,2026-04-23,Vitco Foodservice,15725,Chris & Eddy's House Sce,CS,20,108.89,2177.8,sku
chrsned bag plas tshirt logo ptsbchrisneddy,Paper/Supplies,each,0.005865454545454545,invoice,false,6,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-23,2026-04-16,"Sysco Los Angeles, Inc.",7380317,Chrsned Bag Plas Tshirt Logo Ptsbchrisneddy,CS,4,64.52,258.08,sku
cont foam hing lrg wht hoagie,Paper/Supplies,each,0.16945,invoice,false,1,1,Individual FoodService,2026-04-17,2026-04-17,Individual FoodService,15898,Cont Foam Hing Lrg Wht Hoagie,CS,5,33.89,169.45,sku
container foam 1-compartment bagged,Paper/Supplies,each,0.16704999999999998,invoice,false,17,1,Individual FoodService,2026-02-23,2026-04-27,Individual FoodService,HT91-BAG,Container Foam 9X9 1-Comp Bagged,CS,2,33.41,66.82,sku
container foam 6x6x3 medium hinged square,Paper/Supplies,each,0.08716,invoice,false,2,1,Individual FoodService,2026-03-02,2026-04-16,Individual FoodService,X80,Container Foam 6x6x3 Medium Hinged Square,CS,1,43.58,43.58,sku
container foam 6x6x3 medium white bagged,Paper/Supplies,each,0.08714,invoice,false,3,1,Individual FoodService,2026-02-26,2026-04-27,Individual FoodService,X80-BAG,Container Foam 6X6X3 Medium White Bagged,CS,1,43.57,43.57,sku
container foam hinged white 9x6.5x2.5,Paper/Supplies,each,0.1606,invoice,false,15,1,Individual FoodService,2026-02-23,2026-04-27,Individual FoodService,965-REY,Container Foam Hinged White 9X6.5X2.5,CS,7,32.12,224.84,sku
ctecocrft paper wax deli,Paper/Supplies,oz,1.4074074074074074,invoice,false,1,1,"Sysco Los Angeles, Inc.",2026-03-03,2026-03-03,"Sysco Los Angeles, Inc.",1234271,EcoCraft Paper Wax Deli,CS,1,95,95,sku
cup plastic 10 oz clear pp,Paper/Supplies,CS,,,false,3,1,Individual FoodService,2026-03-13,2026-04-23,Individual FoodService,PBS10-CUP,Plastic Cup 10 oz Clear PP,CS,1,47.86,47.86,sku
cup portion plastic 2 oz clear,Paper/Supplies,each,0.011132,invoice,false,8,1,Individual FoodService,2026-03-19,2026-04-27,Individual FoodService,61250,Cup Portion Plastic Clear,CS,1,27.83,27.83,sku
cutlery fork full size extra heavy black pp,Paper/Supplies,each,0.01998,invoice,false,5,1,Individual FoodService,2026-03-09,2026-04-16,Individual FoodService,IFS-PPF-B,Cutlery Fork Full Size Heavy Black Plastic,CS,1,19.98,19.98,sku
degreaser - regal brand,Cleaning,gal,5.57,invoice,false,2,1,Individual FoodService,2026-02-23,2026-04-13,Individual FoodService,12158,Degreaser - Regal Brand,CS,1,22.28,22.28,sku
embossed bath tissue 2-ply recycled individually wrapped,Paper/Supplies,cs,0.0012945833333333333,invoice,false,5,1,Individual FoodService,2026-02-23,2026-04-20,Individual FoodService,30394,Emboss Bath Tissue 2 Ply,CS,1,62.14,62.14,sku
erthpls bowl pulp oval,Paper/Supplies,each,0.3262947368421053,invoice,false,1,1,"Sysco Los Angeles, Inc.",2026-03-03,2026-03-03,"Sysco Los Angeles, Inc.",7381771,EarthPlus Bowl Pulp Oval,CS,1,154.99,154.99,sku
erthpls lid plastic clear dome for burrito,Paper/Supplies,each,0.14527692307692308,invoice,false,1,1,"Sysco Los Angeles, Inc.",2026-03-03,2026-03-03,"Sysco Los Angeles, Inc.",4919571,EarthPlus Lid Plastic Clear Dome for Burrito,CS,1,94.43,94.43,sku
fuel surcharge,Other,unit,,,false,21,4,"Individual FoodService; Sysco; Sysco Los Angeles, Inc.; Vitco Foodservice",2026-02-19,2026-04-27,Sysco,,CHGS FOR FUEL SURCHARGE,,1,10,10,alias
greeno cup pet 20 oz c&d pet,Paper/Supplies,each,0.097,manual,true,7,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-23,2026-04-27,Sysco,7370699,Greeno Cup PET 20 oz,CS,1,96.55,96.55,sku
greeno lid flat with hole 20 oz pe pet,Paper/Supplies,each,0.006495454545454546,invoice,false,7,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-23,2026-04-27,Sysco,7190716,Greeno Lid Flat with Hole 20oz,CS,2,71.45,142.9,sku
ground beef fine grnd 73/27 creekstone,Meat,lb,4.3200057783056725,invoice,false,23,3,"Premier Meats; Premier Meats & Crystal Bay; Sysco Los Angeles, Inc.",2026-03-04,2026-04-27,Premier Meats & Crystal Bay,0014046-01,GROUND BEEF FINE GRND 73/27 CREEKSTONE,LB,694.27,4.32,2999.25,sku
hellmann mayonnaise extra heavy,Dry Goods,CS,,,false,4,2,"Sysco; Sysco Los Angeles, Inc.",2026-03-28,2026-04-20,"Sysco Los Angeles, Inc.",6004857,Hellmann Mayonnaise Extra Heavy,CS,8,107.95,863.6,sku
imported fresh tomato bulk 5x6 fresh,Produce,lb,0.8612799999999999,invoice,false,30,2,"Sysco; Sysco Los Angeles, Inc.",2026-02-21,2026-04-27,Sysco,1763432,Tomato Bulk 5x6 Fresh,CS,2,107.66,215.32,sku
ketchup heinz 33% fancy,Dry Goods,lb,0.7978333333333333,invoice,false,7,1,Individual FoodService,2026-03-26,2026-04-20,Individual FoodService,G212,Ketchup Heinz 33% Fancy,CS,2,47.87,95.74,sku
ketchup packets foil,Dry Goods,g,0.0028744444444444447,invoice,false,6,1,Individual FoodService,2026-02-23,2026-04-23,Individual FoodService,G1025,Ketchup Packets Foil,CS,2,25.87,51.74,sku
ketchup vol-pack heinz,Dry Goods,CS,,,false,4,1,Individual FoodService,2026-03-19,2026-04-27,Individual FoodService,G216,Ketchup Vol-Pack Heinz,CS,1,42.82,42.82,sku
